Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
QB,Kyler Murray (15788966),Kyler Murray,15788966,CPT,19500,ARI@SEA 11/19/2020 08:20PM ET,ARI,31.38
QB,Russell Wilson (15788967),Russell Wilson,15788967,CPT,17700,ARI@SEA 11/19/2020 08:20PM ET,SEA,29.56
WR,DeAndre Hopkins (15788968),DeAndre Hopkins,15788968,CPT,16200,ARI@SEA 11/19/2020 08:20PM ET,ARI,21.23
WR,DK Metcalf (15788969),DK Metcalf,15788969,CPT,15300,ARI@SEA 11/19/2020 08:20PM ET,SEA,20.62
WR,Tyler Lockett (15788970),Tyler Lockett,15788970,CPT,14100,ARI@SEA 11/19/2020 08:20PM ET,SEA,19.34
QB,Kyler Murray (15788921),Kyler Murray,15788921,FLEX,13000,ARI@SEA 11/19/2020 08:20PM ET,ARI,31.38
RB,Chris Carson (15788971),Chris Carson,15788971,CPT,12600,ARI@SEA 11/19/2020 08:20PM ET,SEA,17.5
QB,Russell Wilson (15788922),Russell Wilson,15788922,FLEX,11800,ARI@SEA 11/19/2020 08:20PM ET,SEA,29.56
WR,Christian Kirk (15788972),Christian Kirk,15788972,CPT,11100,ARI@SEA 11/19/2020 08:20PM ET,ARI,13.62
WR,DeAndre Hopkins (15788923),DeAndre Hopkins,15788923,FLEX,10800,ARI@SEA 11/19/2020 08:20PM ET,ARI,21.23
WR,DK Metcalf (15788924),DK Metcalf,15788924,FLEX,10200,ARI@SEA 11/19/2020 08:20PM ET,SEA,20.62
WR,Tyler Lockett (15788925),Tyler Lockett,15788925,FLEX,9400,ARI@SEA 11/19/2020 08:20PM ET,SEA,19.34
RB,Kenyan Drake (15788973),Kenyan Drake,15788973,CPT,9300,ARI@SEA 11/19/2020 08:20PM ET,ARI,12.75
QB,Chris Streveler (15788974),Chris Streveler,15788974,CPT,9000,ARI@SEA 11/19/2020 08:20PM ET,ARI,0.3
QB,Brett Hundley (15788975),Brett Hundley,15788975,CPT,9000,ARI@SEA 11/19/2020 08:20PM ET,ARI,0
QB,Geno Smith (15788976),Geno Smith,15788976,CPT,9000,ARI@SEA 11/19/2020 08:20PM ET,SEA,0
RB,Chris Carson (15788926),Chris Carson,15788926,FLEX,8400,ARI@SEA 11/19/2020 08:20PM ET,SEA,17.5
